epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,586.508,1.37381,1.5544,1.51701,0.52721,0.35616,0.37529,0.22014,1.74632,2.06507,1.77973,0.000416,0.000416,0.000416
82,591.601,1.37175,1.47319,1.52459,0.60677,0.31711,0.37197,0.22436,1.73905,1.9957,1.7986,0.0003962,0.0003962,0.0003962
83,596.779,1.45151,1.57766,1.52719,0.38491,0.47151,0.36247,0.20074,1.7817,2.04933,1.84518,0.0003764,0.0003764,0.0003764
84,602.298,1.359,1.53185,1.47381,0.48236,0.39726,0.3553,0.20191,1.74673,2.0657,1.80338,0.0003566,0.0003566,0.0003566
85,606.94,1.36089,1.50378,1.48908,0.53289,0.41096,0.39823,0.23399,1.73088,1.92958,1.79783,0.0003368,0.0003368,0.0003368
86,612.013,1.36239,1.536,1.50509,0.70245,0.35575,0.43352,0.25072,1.69343,1.88377,1.79456,0.000317,0.000317,0.000317
87,617.083,1.32999,1.44789,1.45347,0.49785,0.42466,0.43411,0.25328,1.75587,1.88235,1.81278,0.0002972,0.0002972,0.0002972
88,622.405,1.36495,1.45396,1.49279,0.41841,0.42466,0.38963,0.2324,1.75856,1.9024,1.84652,0.0002774,0.0002774,0.0002774
89,626.539,1.44384,1.59723,1.52731,0.39673,0.42466,0.37778,0.23704,1.77845,1.96803,1.84855,0.0002576,0.0002576,0.0002576
90,631.192,1.37681,1.46717,1.51338,0.40458,0.43836,0.38673,0.21936,1.84429,2.06961,1.88657,0.0002378,0.0002378,0.0002378
91,636.159,1.41415,1.59273,1.54742,0.66608,0.32877,0.37555,0.21978,1.83797,2.06852,1.91173,0.000218,0.000218,0.000218
92,640.641,1.44466,1.63747,1.57613,0.63552,0.32877,0.37482,0.24066,1.78536,2.0581,1.85159,0.0001982,0.0001982,0.0001982
93,645.146,1.34852,1.44244,1.50715,0.50977,0.42466,0.41132,0.24796,1.73324,1.89969,1.83573,0.0001784,0.0001784,0.0001784
94,649.89,1.27773,1.38402,1.42816,0.44528,0.42466,0.40021,0.24245,1.73224,1.91797,1.83513,0.0001586,0.0001586,0.0001586
95,654.674,1.25743,1.38554,1.4667,0.50541,0.36986,0.40132,0.25363,1.77228,1.9153,1.86328,0.0001388,0.0001388,0.0001388
96,659.148,1.23905,1.31875,1.42878,0.41173,0.39726,0.38047,0.24318,1.77437,1.91471,1.8661,0.000119,0.000119,0.000119
97,663.58,1.28703,1.42845,1.44137,0.42169,0.45205,0.38703,0.23498,1.749,1.88502,1.81325,9.92e-05,9.92e-05,9.92e-05
98,668.188,1.20336,1.28031,1.3732,0.42472,0.43836,0.3741,0.22918,1.74702,1.90864,1.79555,7.94e-05,7.94e-05,7.94e-05
99,672.836,1.19527,1.25926,1.39146,0.42501,0.45205,0.37908,0.23347,1.72918,1.91371,1.778,5.96e-05,5.96e-05,5.96e-05
100,677.226,1.28474,1.31361,1.50293,0.40354,0.45205,0.37596,0.23016,1.71449,1.90753,1.77051,3.98e-05,3.98e-05,3.98e-05
